Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type Reclassify,Partition
298.800,308.800,1445,49.900,4,0,"3","1_Training"
298.900,308.900,1450,47.500,9,0,"1","1_Training"
298.900,308.900,1453,40.800,11,0,"1","1_Training"
299.000,309.000,1469,40.100,13,0,"1","1_Training"
298.900,308.900,1422,47.600,15,0,"1","2_Testing"
299.000,309.000,1804,26.800,17,0,"2","1_Training"
299.000,309.000,1436,43.900,20,0,"3","1_Training"
299.000,309.000,1544,31.800,25,0,"1","1_Training"
299.000,309.000,1419,45.200,27,0,"2","2_Testing"
298.900,308.900,1487,39.500,30,0,"2","2_Testing"
298.900,308.900,1753,25.800,33,0,"1","1_Training"
298.900,308.900,1830,24.900,35,0,"1","1_Training"
298.900,308.900,1727,27.100,37,0,"2","1_Training"
299.100,309.000,1450,43.000,40,0,"1","2_Testing"
299.000,308.900,1622,31.900,42,0,"1","1_Training"
299.000,309.000,1351,52.200,44,0,"2","1_Training"
299.000,309.000,1575,35.300,47,0,"2","1_Training"
298.900,308.900,1750,29.900,50,0,"2","1_Training"
298.900,308.800,1529,32.700,53,0,"1","2_Testing"
298.800,308.800,1523,44.400,55,0,"1","1_Training"
298.800,308.900,1852,25.000,57,0,"1","1_Training"
298.800,308.800,1991,20.700,59,0,"1","1_Training"
298.800,308.800,1555,40.600,61,0,"1","2_Testing"
298.800,308.800,1441,40.500,63,0,"2","1_Training"
298.800,308.700,1450,43.400,66,0,"1","1_Training"
298.800,308.700,1591,31.100,68,0,"1","1_Training"
298.800,308.700,1445,48.500,70,0,"1","1_Training"
298.800,308.800,1497,46.800,72,0,"2","1_Training"
298.900,308.800,1621,32.700,75,0,"3","1_Training"
298.900,308.700,1572,34.100,80,0,"1","2_Testing"
298.800,308.600,1872,22.500,82,0,"1","1_Training"
298.700,308.600,1499,43.500,84,0,"3","2_Testing"
298.800,308.700,1498,39.500,89,0,"2","1_Training"
298.800,308.600,1486,41.900,92,0,"2","1_Training"
298.800,308.600,1680,29.400,95,0,"1","2_Testing"
298.800,308.600,1431,45.700,97,0,"1","1_Training"
298.900,308.700,1564,34.100,99,0,"1","1_Training"
298.800,308.600,1599,33.000,101,0,"1","2_Testing"
298.800,308.600,1707,28.100,103,0,"2","1_Training"
298.700,308.500,1467,40.700,106,0,"1","1_Training"
298.900,308.700,1433,44.700,108,0,"1","1_Training"
298.900,308.700,1558,41.200,110,0,"1","1_Training"
299.000,308.800,1310,50.700,112,0,"1","2_Testing"
298.900,308.700,1546,43.400,114,0,"1","1_Training"
298.900,308.700,1727,29.400,116,0,"1","2_Testing"
298.900,308.600,1560,32.200,118,0,"1","2_Testing"
299.000,308.600,1329,60.500,120,0,"1","1_Training"
298.900,308.600,1413,46.500,122,0,"1","1_Training"
299.000,308.600,1587,38.600,124,0,"1","2_Testing"
298.900,308.500,1559,34.300,126,0,"1","2_Testing"
298.800,308.400,1473,41.100,128,0,"1","1_Training"
298.800,308.400,1737,27.700,130,0,"1","1_Training"
298.700,308.400,1441,43.200,132,0,"2","1_Training"
298.700,308.400,1430,49.600,135,0,"2","1_Training"
298.800,308.400,1369,53.000,138,0,"1","1_Training"
298.800,308.500,1711,28.500,140,0,"2","1_Training"
298.700,308.500,1420,45.700,143,0,"3","2_Testing"
298.700,308.600,1297,55.300,148,0,"1","2_Testing"
298.800,308.600,1449,49.400,150,0,"3","1_Training"
298.800,308.600,1268,55.800,155,0,"1","1_Training"
298.800,308.600,1511,36.100,157,0,"1","1_Training"
298.700,308.500,1544,35.200,159,0,"1","1_Training"
298.600,308.400,1778,28.200,161,0,"2","1_Training"
298.600,308.400,1407,50.500,164,0,"3","1_Training"
298.600,308.400,1391,42.400,169,0,"2","1_Training"
298.500,308.400,1513,33.600,172,0,"1","1_Training"
298.500,308.400,1612,36.100,174,0,"3","1_Training"
298.400,308.400,1515,40.100,179,0,"1","2_Testing"
298.300,308.300,1379,48.000,181,0,"2","1_Training"
298.400,308.300,1473,39.900,184,0,"1","2_Testing"
298.400,308.300,1422,42.700,186,0,"1","2_Testing"
298.400,308.200,1463,37.600,188,0,"2","1_Training"
298.400,308.200,1584,41.000,191,0,"2","1_Training"
298.400,308.200,1850,27.000,194,0,"1","2_Testing"
298.400,308.200,1528,36.200,196,0,"1","2_Testing"
298.400,308.200,1987,19.800,198,0,"3","1_Training"
298.400,308.100,1495,46.000,203,0,"2","1_Training"
298.400,308.200,1478,43.500,206,0,"3","1_Training"
298.400,308.200,1499,40.000,211,0,"2","2_Testing"
298.400,308.200,1471,47.000,214,0,"1","1_Training"
298.300,308.100,1586,35.500,0,0,"1","2_Testing"
298.400,308.200,1468,43.800,2,0,"2","1_Training"
298.500,308.300,1440,43.600,5,0,"2","1_Training"
298.500,308.400,1733,26.000,8,0,"1","2_Testing"
298.400,308.200,1612,32.600,10,0,"3","2_Testing"
298.400,308.300,1458,42.900,15,0,"3","2_Testing"
298.400,308.300,1318,59.100,22,0,"1","2_Testing"
298.400,308.200,1610,35.000,24,0,"2","1_Training"
298.200,308.100,1462,50.800,27,0,"1","1_Training"
298.100,308.000,1924,20.800,29,0,"2","2_Testing"
298.200,308.000,1591,33.700,32,0,"2","1_Training"
298.200,308.100,1306,58.300,35,0,"1","2_Testing"
298.200,308.100,1382,43.500,37,0,"1","1_Training"
298.200,308.100,1618,34.700,39,0,"1","1_Training"
298.200,308.200,1988,21.400,41,0,"1","1_Training"
298.200,308.200,1436,50.200,43,0,"1","1_Training"
298.200,308.300,1304,49.800,45,0,"1","1_Training"
298.200,308.300,1475,49.900,47,0,"1","1_Training"
298.200,308.300,1824,24.200,49,0,"3","1_Training"
298.100,308.200,1342,48.100,54,0,"2","2_Testing"
298.100,308.200,1485,40.700,57,0,"1","2_Testing"
298.200,308.200,1667,30.600,59,0,"1","2_Testing"
298.200,308.200,1446,38.200,61,0,"1","1_Training"
298.100,308.300,1301,56.000,63,0,"1","2_Testing"
298.200,308.400,1379,43.100,65,0,"1","1_Training"
298.300,308.500,1606,33.600,67,0,"1","2_Testing"
298.300,308.400,1539,43.400,69,0,"2","1_Training"
298.200,308.400,1477,49.900,72,0,"1","2_Testing"
298.200,308.400,1666,34.600,74,0,"1","2_Testing"
298.200,308.400,1398,51.800,76,0,"3","1_Training"
298.200,308.400,1678,34.600,81,0,"3","1_Training"
298.300,308.500,1453,42.900,89,0,"1","1_Training"
298.300,308.600,1432,49.500,91,0,"3","1_Training"
298.400,308.600,1527,40.900,96,0,"2","2_Testing"
298.400,308.700,1588,35.000,99,0,"1","2_Testing"
298.400,308.600,1433,47.100,101,0,"1","1_Training"
298.400,308.600,1609,35.000,103,0,"1","1_Training"
298.300,308.500,1575,41.200,105,0,"1","1_Training"
298.400,308.500,1636,35.700,107,0,"2","1_Training"
298.400,308.500,1490,37.900,110,0,"1","2_Testing"
298.400,308.500,1741,32.800,112,0,"1","1_Training"
298.500,308.600,1344,53.000,114,0,"2","1_Training"
298.500,308.700,1609,35.300,117,0,"1","1_Training"
298.400,308.600,1591,36.700,122,0,"1","1_Training"
298.400,308.600,1477,44.000,124,0,"1","1_Training"
298.400,308.700,1523,36.100,126,0,"1","1_Training"
298.500,308.700,1575,33.900,128,0,"1","1_Training"
298.400,308.700,1344,52.900,130,0,"3","1_Training"
298.400,308.700,1386,44.900,135,0,"1","1_Training"
298.300,308.600,1589,37.100,137,0,"2","2_Testing"
298.300,308.600,1548,40.300,140,0,"1","2_Testing"
298.300,308.600,1499,38.300,142,0,"1","2_Testing"
298.300,308.500,1664,31.600,144,0,"1","1_Training"
298.300,308.600,1447,38.100,146,0,"1","2_Testing"
298.300,308.500,1434,46.200,148,0,"2","1_Training"
298.300,308.500,1416,52.700,151,0,"1","1_Training"
298.400,308.500,1827,24.300,153,0,"3","2_Testing"
298.400,308.600,1304,45.000,158,0,"1","1_Training"
298.400,308.600,1569,34.400,160,0,"1","1_Training"
298.300,308.600,1584,29.300,162,0,"1","1_Training"
298.300,308.500,1362,53.800,164,0,"1","2_Testing"
298.300,308.400,1329,49.200,166,0,"1","1_Training"
298.300,308.500,1539,36.100,168,0,"1","2_Testing"
298.300,308.500,1629,37.100,170,0,"2","2_Testing"
298.300,308.500,1538,32.200,173,0,"1","1_Training"
298.300,308.600,1570,34.800,175,0,"1","1_Training"
298.300,308.400,1408,43.100,177,0,"1","1_Training"
298.200,308.400,1424,47.600,179,0,"1","2_Testing"
298.200,308.400,1512,34.900,181,0,"1","1_Training"
298.200,308.400,1478,42.900,183,0,"1","1_Training"
298.100,308.300,1680,33.700,185,0,"2","1_Training"
298.100,308.300,1495,38.700,188,0,"1","1_Training"
298.000,308.100,1552,36.600,190,0,"2","1_Training"
297.900,308.100,1393,50.300,193,0,"1","1_Training"
298.000,308.200,1611,30.600,195,0,"1","2_Testing"
298.000,308.100,1339,51.600,197,0,"2","1_Training"
298.000,308.100,1777,24.300,200,0,"1","1_Training"
298.000,308.200,1442,44.100,204,0,"1","1_Training"
298.000,308.200,1395,49.100,206,0,"2","2_Testing"
297.900,308.100,1627,31.400,209,0,"2","1_Training"
297.900,308.100,1585,33.500,212,0,"1","1_Training"
298.000,308.200,1469,45.500,214,0,"1","2_Testing"
298.000,308.300,1662,32.700,0,0,"1","1_Training"
298.000,308.200,1466,42.600,2,0,"2","2_Testing"
298.000,308.200,1620,35.800,5,0,"1","1_Training"
298.000,308.200,1357,48.200,7,0,"1","1_Training"
298.000,308.200,1514,37.900,9,0,"1","1_Training"
298.000,308.200,1489,40.400,11,0,"1","1_Training"
298.100,308.300,1331,63.000,13,0,"1","1_Training"
298.000,308.000,1615,29.500,15,0,"1","1_Training"
298.100,308.200,1482,37.900,17,0,"1","1_Training"
298.200,308.300,1522,49.100,22,0,"2","1_Training"
298.100,308.200,1654,32.100,25,0,"1","2_Testing"
298.100,308.200,1736,26.800,27,0,"2","1_Training"
298.000,308.100,1587,32.300,30,0,"2","1_Training"
298.100,308.200,1390,47.500,33,0,"1","2_Testing"
298.000,308.100,1454,37.100,35,0,"1","2_Testing"
298.000,308.100,1440,43.700,37,0,"3","2_Testing"
297.900,308.000,1954,21.100,42,0,"1","2_Testing"
297.900,308.000,1800,24.800,44,0,"3","1_Training"
298.000,308.000,1524,37.000,49,0,"1","1_Training"
298.000,308.000,1520,39.600,51,0,"3","1_Training"
298.100,308.100,1452,40.800,56,0,"2","1_Training"
298.100,308.100,1484,40.400,59,0,"1","2_Testing"
298.100,308.000,1426,46.000,61,0,"1","1_Training"
298.100,308.000,1652,28.500,63,0,"1","1_Training"
298.000,308.000,1401,54.700,65,0,"1","2_Testing"
298.000,307.900,1750,26.600,67,0,"2","2_Testing"
298.000,308.000,1479,50.700,70,0,"3","2_Testing"
298.000,308.000,1620,29.400,75,0,"2","1_Training"
298.000,308.100,1819,23.400,78,0,"1","2_Testing"
298.100,308.100,1456,43.700,80,0,"2","2_Testing"
298.100,308.000,1626,36.500,83,0,"1","2_Testing"
298.100,308.100,1390,49.800,85,0,"2","2_Testing"
298.200,308.200,1469,43.000,88,0,"1","2_Testing"
298.200,308.300,2051,19.200,90,0,"1","1_Training"
298.200,308.300,1568,36.000,92,0,"1","2_Testing"
298.200,308.300,1589,33.200,94,0,"1","1_Training"
298.200,308.300,1805,31.600,96,0,"1","2_Testing"
298.200,308.400,1385,42.200,98,0,"3","1_Training"
298.100,308.400,1436,46.700,103,0,"1","2_Testing"
298.100,308.400,1438,45.600,105,0,"1","1_Training"
298.000,308.300,1473,42.600,107,0,"1","1_Training"
298.100,308.400,1335,40.200,109,0,"1","1_Training"
298.100,308.500,1392,44.800,111,0,"3","1_Training"
298.100,308.500,1372,51.100,116,0,"2","1_Training"
298.100,308.600,1716,30.700,119,0,"2","2_Testing"
298.000,308.500,1395,46.200,122,0,"1","1_Training"
298.000,308.500,1713,25.300,124,0,"1","2_Testing"
297.900,308.500,2129,18.700,126,0,"3","1_Training"
297.800,308.300,1567,35.600,131,0,"2","1_Training"
297.800,308.400,1622,38.300,134,0,"1","1_Training"
297.700,308.400,1740,27.100,136,0,"1","2_Testing"
297.800,308.400,1512,35.100,138,0,"3","1_Training"
297.800,308.400,1479,43.500,143,0,"2","2_Testing"
297.800,308.400,1737,27.500,146,0,"1","1_Training"
297.800,308.400,2129,19.200,148,0,"1","2_Testing"
297.800,308.400,1374,47.100,150,0,"1","2_Testing"
297.800,308.400,1579,36.600,152,0,"2","1_Training"
297.900,308.500,1305,47.200,155,0,"1","2_Testing"
297.900,308.500,1449,40.800,157,0,"2","1_Training"
298.000,308.600,1526,41.800,160,0,"3","1_Training"
298.000,308.600,1453,44.100,165,0,"2","2_Testing"
297.900,308.600,1468,36.000,168,0,"1","1_Training"
298.000,308.600,1313,50.800,170,0,"1","1_Training"
297.900,308.500,1300,53.000,172,0,"2","1_Training"
297.900,308.400,1646,40.600,175,0,"1","1_Training"
297.800,308.400,1714,33.200,177,0,"1","1_Training"
297.800,308.400,1685,28.400,179,0,"1","2_Testing"
297.800,308.400,1512,39.900,181,0,"1","1_Training"
297.800,308.400,1612,32.100,183,0,"1","1_Training"
297.800,308.400,1550,38.200,185,0,"3","1_Training"
297.800,308.400,1518,32.500,190,0,"1","1_Training"
297.800,308.500,1448,40.000,192,0,"1","2_Testing"
297.800,308.500,1561,46.300,194,0,"1","1_Training"
297.800,308.500,1488,41.900,196,0,"2","2_Testing"
297.800,308.500,1699,27.800,199,0,"1","1_Training"
297.700,308.500,1501,41.400,201,0,"1","1_Training"
297.600,308.400,1703,31.400,205,0,"3","1_Training"
297.700,308.500,1720,29.900,210,0,"3","2_Testing"
297.600,308.400,1398,41.900,215,0,"2","1_Training"
297.600,308.400,1391,51.900,218,0,"2","2_Testing"
297.600,308.300,1538,40.200,0,0,"2","2_Testing"
297.500,308.200,1647,31.300,3,0,"1","2_Testing"
297.500,308.100,1469,44.800,5,0,"2","1_Training"
297.400,308.100,1749,25.900,8,0,"1","1_Training"
297.600,308.200,1995,20.500,10,0,"2","1_Training"
297.600,308.300,1742,27.700,13,0,"1","1_Training"
297.500,308.200,1563,38.200,15,0,"1","1_Training"
297.500,308.200,1713,32.200,17,0,"2","2_Testing"
297.400,308.100,1474,39.400,20,0,"1","2_Testing"
297.400,308.200,1530,32.600,22,0,"2","1_Training"
297.400,308.200,1471,46.500,25,0,"1","2_Testing"
297.500,308.300,1388,48.600,27,0,"1","1_Training"
297.500,308.200,2448,13.800,29,0,"2","1_Training"
297.500,308.300,1585,32.900,32,0,"1","2_Testing"
297.500,308.300,1459,45.200,34,0,"2","1_Training"
297.500,308.300,1544,40.800,37,0,"1","1_Training"
297.600,308.300,1617,31.700,39,0,"1","1_Training"
297.600,308.300,1595,34.300,41,0,"1","1_Training"
297.600,308.300,1400,44.300,43,0,"3","1_Training"
297.600,308.400,1611,31.000,48,0,"2","2_Testing"
297.600,308.400,1507,46.000,51,0,"2","2_Testing"
297.500,308.300,1674,30.000,54,0,"3","1_Training"
297.600,308.300,1658,34.300,59,0,"1","1_Training"
297.600,308.300,1623,36.900,61,0,"1","2_Testing"
297.600,308.400,1398,48.900,63,0,"2","2_Testing"
297.600,308.400,1517,34.200,66,0,"1","1_Training"
297.600,308.300,1467,36.700,68,0,"2","2_Testing"
297.600,308.300,1567,34.600,71,0,"2","1_Training"
297.500,308.300,1521,38.200,74,0,"2","1_Training"
297.500,308.300,1596,36.800,77,0,"1","1_Training"
297.600,308.300,1640,30.900,79,0,"3","1_Training"
297.600,308.300,1438,47.800,84,0,"1","1_Training"
297.600,308.400,1407,55.200,86,0,"1","1_Training"
297.600,308.400,1353,57.500,88,0,"1","1_Training"
297.600,308.500,1552,40.900,90,0,"2","1_Training"
297.600,308.400,1569,38.300,93,0,"2","2_Testing"
297.500,308.400,1489,39.500,96,0,"1","1_Training"
297.500,308.400,1587,36.100,98,0,"3","1_Training"
297.500,308.300,1622,37.200,103,0,"2","1_Training"
297.500,308.400,1604,38.100,106,0,"1","1_Training"
297.400,308.300,1405,51.700,108,0,"2","2_Testing"
297.400,308.300,1412,42.000,111,0,"1","1_Training"
297.400,308.300,1431,43.000,113,0,"1","1_Training"
297.400,308.200,1533,37.400,115,0,"1","2_Testing"
297.400,308.200,1401,51.900,117,0,"2","1_Training"
297.400,308.200,1424,53.900,120,0,"2","1_Training"
297.300,308.200,1754,29.400,123,0,"1","1_Training"
297.300,308.200,1754,26.800,125,0,"1","2_Testing"
297.500,308.500,1546,40.400,129,0,"1","2_Testing"
297.500,308.500,1335,48.000,131,0,"1","2_Testing"
297.500,308.600,1842,27.000,133,0,"2","1_Training"
297.500,308.500,1712,26.800,136,0,"1","2_Testing"
297.600,308.600,1414,45.400,138,0,"2","1_Training"
297.600,308.700,1319,50.900,141,0,"1","1_Training"
297.700,308.700,1249,60.400,143,0,"1","2_Testing"
297.600,308.700,1455,48.200,145,0,"1","1_Training"
297.600,308.700,1408,54.800,147,0,"2","1_Training"
297.600,308.700,1460,46.700,150,0,"1","1_Training"
297.600,308.600,1491,38.100,152,0,"1","1_Training"
297.600,308.500,1490,43.400,154,0,"2","1_Training"
297.500,308.400,1350,52.200,157,0,"2","1_Training"
297.500,308.400,1528,39.900,160,0,"1","2_Testing"
297.400,308.300,1571,37.700,162,0,"1","2_Testing"
297.400,308.300,1490,42.600,164,0,"1","2_Testing"
297.400,308.300,1774,28.900,166,0,"2","2_Testing"
297.400,308.300,1502,43.600,169,0,"3","2_Testing"
297.400,308.400,1392,49.700,174,0,"1","1_Training"
297.400,308.500,2100,16.900,176,0,"1","1_Training"
297.500,308.500,1722,30.400,178,0,"1","2_Testing"
297.400,308.600,1678,32.300,180,0,"1","1_Training"
297.300,308.600,1273,59.800,182,0,"1","1_Training"
297.300,308.600,1297,45.900,184,0,"1","2_Testing"
297.300,308.500,1350,57.600,186,0,"1","1_Training"
297.400,308.600,1439,51.900,188,0,"1","1_Training"
297.400,308.500,1600,42.100,190,0,"2","1_Training"
297.400,308.600,1434,44.400,193,0,"2","2_Testing"
297.400,308.600,1459,41.300,196,0,"1","1_Training"
297.500,308.600,1472,44.900,198,0,"2","1_Training"
297.500,308.700,1429,44.300,201,0,"1","1_Training"
297.500,308.600,1388,48.200,203,0,"1","1_Training"
297.400,308.400,1573,34.500,205,0,"1","1_Training"
297.400,308.400,1588,32.500,207,0,"1","2_Testing"
297.500,308.400,1511,42.800,209,0,"1","2_Testing"
297.400,308.500,1495,37.800,211,0,"1","2_Testing"
297.400,308.400,1394,50.100,213,0,"1","2_Testing"
297.400,308.400,2151,17.700,0,0,"1","1_Training"
297.300,308.300,1501,38.200,2,0,"2","1_Training"
297.300,308.300,1301,39.600,5,0,"2","1_Training"
297.300,308.300,1657,31.100,8,0,"2","1_Training"
297.300,308.300,1333,55.200,11,0,"1","1_Training"
297.300,308.300,1484,43.900,13,0,"1","2_Testing"
297.300,308.400,1430,45.700,15,0,"1","2_Testing"
297.300,308.400,1665,28.900,17,0,"2","1_Training"
297.400,308.500,1501,44.900,20,0,"1","1_Training"
297.500,308.500,1496,42.200,22,0,"2","1_Training"
297.600,308.600,1595,36.900,25,0,"2","2_Testing"
297.500,308.600,1208,62.300,28,0,"1","1_Training"
297.500,308.600,1596,37.100,30,0,"1","1_Training"
297.500,308.500,1446,41.900,32,0,"1","2_Testing"
297.600,308.500,1466,39.700,34,0,"2","2_Testing"
297.600,308.500,1848,23.700,37,0,"2","2_Testing"
297.500,308.500,1484,44.700,40,0,"2","1_Training"
297.400,308.300,1493,41.200,43,0,"1","1_Training"
297.300,308.300,1504,36.300,45,0,"1","2_Testing"
297.300,308.300,1538,38.500,47,0,"1","2_Testing"
297.400,308.400,1341,52.200,49,0,"1","2_Testing"
297.400,308.300,1535,34.600,51,0,"2","2_Testing"
297.400,308.500,1389,39.200,54,0,"1","1_Training"
297.500,308.500,1393,46.600,56,0,"3","2_Testing"
297.400,308.500,1469,45.100,63,0,"3","1_Training"
297.400,308.400,1582,37.200,68,0,"1","1_Training"
297.500,308.600,1793,26.700,70,0,"1","1_Training"
297.500,308.600,1452,39.000,72,0,"1","2_Testing"
297.600,308.700,1376,59.900,74,0,"2","1_Training"
297.500,308.600,1552,44.900,77,0,"1","1_Training"
297.600,308.700,1622,37.900,79,0,"1","1_Training"
297.600,308.700,1419,41.700,81,0,"2","1_Training"
297.500,308.600,1440,46.100,84,0,"3","2_Testing"
297.400,308.600,1643,31.000,89,0,"2","1_Training"
297.400,308.700,1510,36.200,92,0,"1","1_Training"
297.400,308.700,1468,46.600,94,0,"1","1_Training"
297.400,308.700,1429,57.400,96,0,"1","1_Training"
297.300,308.700,1478,47.600,98,0,"3","2_Testing"
297.400,308.600,1276,53.600,103,0,"1","2_Testing"
297.300,308.600,1486,42.600,105,0,"1","2_Testing"
297.400,308.600,1476,42.300,107,0,"1","1_Training"
297.300,308.600,1431,42.000,109,0,"3","1_Training"
297.400,308.700,1402,40.200,114,0,"1","1_Training"
297.400,308.700,1433,43.400,116,0,"1","1_Training"
297.300,308.600,1511,35.700,120,0,"1","2_Testing"
297.300,308.600,1456,42.900,122,0,"2","1_Training"
297.200,308.500,1550,41.500,125,0,"1","1_Training"
297.200,308.500,2182,16.500,127,0,"1","1_Training"
297.300,308.700,1619,31.600,129,0,"1","1_Training"
297.300,308.800,1586,32.700,131,0,"2","1_Training"
297.300,308.800,1499,44.200,134,0,"3","1_Training"
297.300,308.800,1419,42.400,139,0,"3","1_Training"
297.400,309.000,1497,41.800,144,0,"2","2_Testing"
297.400,309.000,1520,37.000,147,0,"2","2_Testing"
297.400,309.100,1478,49.800,150,0,"1","2_Testing"
297.400,309.100,1380,41.100,152,0,"1","2_Testing"
297.400,309.000,1570,37.900,154,0,"1","2_Testing"
297.400,309.000,1468,41.400,156,0,"3","1_Training"
297.400,309.000,1833,22.600,161,0,"1","1_Training"
297.400,308.900,1323,57.300,163,0,"2","1_Training"
297.400,309.000,1583,32.000,166,0,"1","2_Testing"
297.300,309.000,1556,39.500,168,0,"2","2_Testing"
297.300,309.000,1548,37.400,171,0,"1","1_Training"
297.400,309.000,1324,56.900,173,0,"1","1_Training"
297.400,309.000,1568,33.700,175,0,"1","2_Testing"
297.400,309.000,1685,30.700,177,0,"2","1_Training"
297.400,309.100,1582,35.900,180,0,"2","1_Training"
297.400,309.100,1463,35.000,183,0,"2","1_Training"
297.400,309.200,1584,42.800,186,0,"1","1_Training"
297.500,309.200,1347,55.800,188,0,"2","1_Training"
297.400,309.200,1459,37.900,191,0,"1","1_Training"
297.400,309.200,1420,45.600,193,0,"1","1_Training"
297.500,309.300,1404,43.500,195,0,"1","2_Testing"
297.500,309.300,1470,38.800,197,0,"1","1_Training"
297.600,309.400,1326,49.800,199,0,"1","2_Testing"
297.500,309.300,1459,49.700,201,0,"3","1_Training"
297.500,309.200,1530,40.000,206,0,"2","1_Training"
297.400,309.000,1505,39.200,209,0,"1","1_Training"
297.500,309.100,1611,30.200,211,0,"1","1_Training"
297.500,309.100,1515,35.100,213,0,"1","1_Training"
297.500,309.200,1804,27.400,215,0,"2","2_Testing"
297.600,309.300,1464,46.200,218,0,"2","1_Training"
297.600,309.200,1390,43.300,221,0,"1","2_Testing"
297.600,309.200,1442,48.100,0,0,"2","2_Testing"
297.600,309.300,1529,41.900,3,0,"2","2_Testing"
